word,wordID
priscilla,1918
"vivian,1917
lin,1915
2004,1914
nicole,1913
"cheng,1910
lee,1907
hsu,1906
jackson,1901
mulinyawe,1897
rna,1896
factors,1893
cocksfoot,1892
makelainen,1891
makinen",1889
"katri,1888
vivo,1886
mizutani,1884
"daiji,1883
endoh,1882
maki,1878
graudens,1876
xavier,1874
imbeaud,1873
boulanger,1871
barlet,1870
kathryn,1869
richmond,1868
yea,1912
sussman,1865
michael,1863
restraint,1860
dinman",1859
twist,1857
brierley",1854
mammalian,1847
cousins,1841
suntharalingam,1838
chapman",1836
wax,1834
showalter,1831
j,1829
motta,1828
presumed,1827
published,1826
reasonably,1825
come,1824
generally,1822
instituted,1821
argument,1819
expeditious,1817
again,1816
together,1815
observer,1814
adjudicate,1811
primary,1808
recognition,1805
implicit,1804
thereof,1820
changed,1803
brunt,1802
families,1800
communication,1799
sudden,1798
universal,1797
discharge,1810
across,1796
effectively,1795
identification,1794
judge,1793
broader,1790
shared,1788
awareness,1786
impinging,1785
day,1780
person,1779
per,1778
kaysen,1862
torsional,1861
breaking,1774
notification,1772
quickly,1770
empathy,1769
future,1767
compliance,1765
urgent,1763
exists,1761
expectations,1759
discrimination,1758
ensuring,1752
realize,1750
ways,1746
processes,1744
awkward,1742
gattas,1840
throughout,1740
circulated,1739
sought,1735
feedback,1732
implemented,1731
how,1729
cause,1725
jen,1905
transparency,1720
adamant,1719
macro,1718
hand,1716
decisions,1715
carriers,1714
thomas,1904
updates,1711
unpublished,1710
lockdown,1708
inconvenience,1706
clarity,1705
captured,1700
personal,1696
stressed,1695
newly,1693
calls,1691
scientific,1721
12,1689
bad,1688
overrides,1687
consistency,1686
understand,1741
ontario,1699
28,1684
news,1683
network,1681
kazuhiro,1845
increased,1680
deprived,1676
identified,1675
recognizes,1670
protected,1668
vulnerable,1667
once,1665
proportionality,1736
strategies,1664
names,1663
colleagues,1661
