wordID,docIDs,freqs,priorities,totalFreq
3860,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3859,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3858,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3868,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3857,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3866,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3861,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3862,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3863,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3864,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3865,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3867,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3869,0fitbwuv;0fitbwuv;0fitbwuv;0fitbwuv,1;1;1;1,2;2;2;2,4
3843,p34ezktf;p34ezktf;p34ezktf;p34ezktf,1;1;1;1,2;2;2;2,4
3836,p34ezktf;p34ezktf;p34ezktf;p34ezktf,1;1;1;1,2;2;2;2,4
3835,p34ezktf;p34ezktf;p34ezktf;p34ezktf,1;1;1;1,2;2;2;2,4
3833,p34ezktf;p34ezktf;p34ezktf;p34ezktf,1;1;1;1,2;2;2;2,4
3853,p34ezktf;p34ezktf;p34ezktf;p34ezktf,1;1;1;1,2;2;2;2,4
3839,p34ezktf;p34ezktf;p34ezktf;p34ezktf,1;1;1;1,2;2;2;2,4
3831,p34ezktf;p34ezktf;p34ezktf;p34ezktf,1;1;1;1,2;2;2;2,4
3837,p34ezktf;p34ezktf;p34ezktf;p34ezktf,1;1;1;1,2;2;2;2,4
3854,p34ezktf;p34ezktf;p34ezktf;p34ezktf,1;1;1;1,2;2;2;2,4
3838,p34ezktf;p34ezktf;p34ezktf;p34ezktf,1;1;1;1,2;2;2;2,4
